Race,Runner Number,Horse,Score,Factors,Physical,Notes
R1,2,Circus Queen,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R1,3,Excelluna,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R1,4,Extremely Chic,-1,"{""positive"":{},""negative"":{""BH-"":-1}}","{""gear"":{},""wet"":{}}",
R1,5,Idmiston,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R1,6,Miss Scandal,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R1,7,Ole Olive,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R1,8,Satin Serenade,1,"{""positive"":{""Clean+"":1},""negative"":{}}","{""gear"":{},""wet"":{}}",
R2,1,Divine Offering,-1,"{""positive"":{},""negative"":{""BH-"":-1}}","{""gear"":{},""wet"":{}}",Dumping slop
R2,2,Dominator,0,"{""positive"":{""Clean+"":0,""Dapple+"":0,""Healthy+"":0,""Defined+"":0,""Tight+"":0,""Alert+"":0,""Calm+"":0,""Fluent+"":0,""Forward+"":0,""Peak+"":0},""negative"":{""BH-"":0,""K-"":0,""N-"":0,""BS-"":0,""Dull-"":0,""Dry-"":0,""Light-"":0,""Poor-"":0,""Flat-"":0,""Aggressive-"":0,""Short-"":0,""Stiff-"":0,""Injured-"":0,""Heavy/Fat-"":0,""Tucked up-"":0}}","{""gear"":{},""wet"":{}}",
R2,6,Klocke,0,"{""positive"":{""Clean+"":0},""negative"":{}}","{""gear"":{},""wet"":{}}",
R2,10,Snitzel A'la Rouge,-2,"{""positive"":{""Clean+"":0},""negative"":{""BH-"":-2}}","{""gear"":{},""wet"":{}}",
R2,12,The Machine Gun,1,"{""positive"":{""Alert+"":1},""negative"":{""BH-"":0}}","{""gear"":{},""wet"":{}}",
R2,13,Ultimate Warrior,1,"{""positive"":{""Clean+"":1},""negative"":{}}","{""gear"":{},""wet"":{}}",
R2,14,Zeitgeist,-1,"{""positive"":{},""negative"":{""BH-"":-1}}","{""gear"":{},""wet"":{}}",
R2,15,Marwooba,2,"{""positive"":{""Defined+"":1,""Clean+"":1},""negative"":{}}","{""gear"":{},""wet"":{}}",
R2,17,Another Lahar,-1,"{""positive"":{},""negative"":{""N-"":-1}}","{""gear"":{},""wet"":{}}",Dumping slop
R3,1,Hello Captain,1,"{""positive"":{""Clean+"":1},""negative"":{}}","{""gear"":{},""wet"":{}}",
R3,2,Airworthy,0,"{""positive"":{""Clean+"":0},""negative"":{}}","{""gear"":{},""wet"":{}}",
R3,3,Three Arrows,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R3,5,Willingham,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R3,6,Zoufield,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R3,7,Roma Green,-2,"{""positive"":{""Clean+"":0},""negative"":{""BS-"":0,""BH-"":-2,""K-"":0}}","{""gear"":{},""wet"":{}}",
R3,8,Wootton Way,-1,"{""positive"":{},""negative"":{""N-"":-1}}","{""gear"":{},""wet"":{}}",
R3,9,Events,-3,"{""positive"":{},""negative"":{""BH-"":-1,""K-"":-1,""N-"":-1}}","{""gear"":{},""wet"":{}}",
R3,10,Extrio,-1,"{""positive"":{},""negative"":{""BH-"":-1}}","{""gear"":{},""wet"":{}}",
R3,12,Demi God,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R4,1,Deepwater Artist,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R4,2,Helen's Way,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R4,3,Ballpark,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R4,4,Rach,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R4,5,Pawa,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R4,6,Polo,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R4,7,Lipstick,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R4,9,Wounder,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R5,2,Claim The Crown,0,"{""positive"":{""Clean+"":0},""negative"":{}}","{""gear"":{},""wet"":{}}",
R5,3,Sting In The Tail,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R5,4,Allegro Miss,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R5,5,Format,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R5,6,Fioprospero,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R5,7,Jack Duggan,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R5,8,Lots To Love,0,"{""positive"":{""Clean+"":0},""negative"":{""BS-"":0,""BH-"":0,""K-"":0}}","{""gear"":{},""wet"":{}}",
R6,1,The Creator,-1,"{""positive"":{},""negative"":{""N-"":-1}}","{""gear"":{},""wet"":{}}",
R6,2,Forbidden Riff,-3,"{""positive"":{},""negative"":{""BH-"":-2,""N-"":-1}}","{""gear"":{},""wet"":{}}",
R6,3,Audrey's Lane,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R6,4,Lennox,-3,"{""positive"":{},""negative"":{""BH-"":-2,""N-"":-1}}","{""gear"":{},""wet"":{}}",
R6,5,Tenderize,-1,"{""positive"":{},""negative"":{""BH-"":-1}}","{""gear"":{},""wet"":{}}",
R6,7,Peace Officer,1,"{""positive"":{""Clean+"":1},""negative"":{}}","{""gear"":{},""wet"":{}}",
R6,8,Louie's Legacy,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R6,10,Up To Mischief,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R7,1,Storm The Ramparts,2,"{""positive"":{""Alert+"":1,""Fluent+"":1},""negative"":{}}","{""gear"":{},""wet"":{}}",
R7,2,Celui,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R7,3,Felix Majestic,1,"{""positive"":{""Defined+"":1},""negative"":{}}","{""gear"":{},""wet"":{}}",
R7,4,Chinqui,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R7,5,World Alliance,0,"{""positive"":{},""negative"":{}}","{""gear"":{""FT"":[3,4]},""wet"":{}}",
R7,8,Flying Trapeze,1,"{""positive"":{""Clean+"":1},""negative"":{}}","{""gear"":{},""wet"":{}}",
R7,9,Dollar Magic,0,"{""positive"":{""Clean+"":0},""negative"":{}}","{""gear"":{""FT"":[3,4]},""wet"":{}}",
R7,10,Mogo Magic,-1,"{""positive"":{},""negative"":{""BH-"":-1}}","{""gear"":{},""wet"":{}}",
R7,11,Memoria,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R7,12,Istolea Merc,-2,"{""positive"":{},""negative"":{""BH-"":-2}}","{""gear"":{},""wet"":{}}",
R7,13,Winning Proposal,1,"{""positive"":{""Clean+"":1},""negative"":{}}","{""gear"":{},""wet"":{}}",
R7,14,Crepe Myrtle,-1,"{""positive"":{},""negative"":{""Stiff-"":-1}}","{""gear"":{},""wet"":{}}",
R7,17,Pokerjack,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R7,18,Ready To Shine,0,"{""positive"":{},""negative"":{}}","{""gear"":{""FT"":[3,4],""B"":[1,2]},""wet"":{}}",
R8,1,Mafia,0,"{""positive"":{""Clean+"":0},""negative"":{""BH-"":0}}","{""gear"":{},""wet"":{}}",
R8,2,Balkans,0,"{""positive"":{""Clean+"":0},""negative"":{}}","{""gear"":{},""wet"":{}}",
R8,3,Love Shuck,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R8,6,Laurel Hill,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R8,8,Tuscany,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R8,10,Perfect Picture,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",
R8,11,Alphard,0,"{""positive"":{},""negative"":{}}","{""gear"":{},""wet"":{}}",