meeting,race_no,finisher_position,position_code,sp,lane_group
Bathurst · 2026-06-16,R1,1,1,6,Rail
Bathurst · 2026-06-16,R1,2,5,2,Rail
Bathurst · 2026-06-16,R1,3,2,6.5,Running Line
Bathurst · 2026-06-16,R1,4,6,41,Running Line
Bathurst · 2026-06-16,R2,1,1,8,Rail
Bathurst · 2026-06-16,R2,2,2,6.5,Running Line
Bathurst · 2026-06-16,R2,3,4,2.3,Running Line
Bathurst · 2026-06-16,R2,4,3,81,Rail
Bathurst · 2026-06-16,R3,1,3,5,Rail
Bathurst · 2026-06-16,R3,2,5,1.8,Rail
Bathurst · 2026-06-16,R3,3,1,17,Rail
Bathurst · 2026-06-16,R3,4,7,6.5,Rail
Bathurst · 2026-06-16,R4,1,3,3,Rail
Bathurst · 2026-06-16,R4,2,2,4.2,Running Line
Bathurst · 2026-06-16,R4,3,6,3.7,Running Line
Bathurst · 2026-06-16,R4,4,4,9,Running Line
Bathurst · 2026-06-16,R5,1,6,8.5,Running Line
Bathurst · 2026-06-16,R5,2,8,1.9,Running Line
Bathurst · 2026-06-16,R5,3,7,9,Rail
Bathurst · 2026-06-16,R5,4,1,34,Rail
Bathurst · 2026-06-16,R6,1,2,1.9,Running Line
Bathurst · 2026-06-16,R6,2,1,13,Rail
Bathurst · 2026-06-16,R6,3,4,23,Running Line
Bathurst · 2026-06-16,R6,4,5,5,Rail