race_no,race_name,start_time,distance,track,grade,going,rail,no,horse,horse_name,name,barrier,trainer,jockey,weight,probable_weight,hcp_rating,odds,scratched,emergency,source
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,1,MAFIA,MAFIA,MAFIA,2,Mitchell Beer & George Carpenter,Ms Siena Grima (a2/52kg),62kg,60kg,76,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,2,COLD BREW,COLD BREW,COLD BREW,10,Richard & Will Freedman,William Stanley (a3/54.5kg),61kg,58kg,74,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,3,JUST IN TIME,JUST IN TIME,JUST IN TIME,13,Jason Deamer,Adam Hyeronimus,60kg,,76,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,4,PRESIDES,PRESIDES,PRESIDES,6,Mitchell Beer & George Carpenter,Ms Coriah Keatings (a3/51kg),60kg,57kg,72,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,5,CAPE BYRON,CAPE BYRON,CAPE BYRON,4,Marc & Mitchell Conners,Ms Olivia Chambers (a3/50kg),59kg,56kg,70,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,6,THAMES,THAMES,THAMES,7,Gary Portelli,Braith Nock (a1.5/53kg),58.5kg,57kg,73,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,7,MOTHER GOOSE,MOTHER GOOSE,MOTHER GOOSE,0,Gary Portelli,Andrew Adkins,58kg,,72,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,8,HELLOVA NATURE,HELLOVA NATURE,HELLOVA NATURE,9,Kristen Buchanan,Tyler Schiller (late alt),57.5kg,,67,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,9,KOIOS,KOIOS,KOIOS,0,Nacim Dilmi,,57kg,,66,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,10,COSY CORNER,COSY CORNER,COSY CORNER,1,Paul Perry,Ms Shannen Llewellyn (a3/54kg),56.5kg,54kg,69,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,11,ROUSSILLON,ROUSSILLON,ROUSSILLON,3,Clare Collett,Andrew Gibbons (late alt),56.5kg,57.5kg,65,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,12,NULLARBOR JANE,NULLARBOR JANE,NULLARBOR JANE,0,John Sargent,Ms Anna Roper (a2/53kg),54.5kg,52.5kg,66,,true,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,13,EQUILIBRIST,EQUILIBRIST,EQUILIBRIST,12,Kerry Parker,Jay Ford,54.5kg,,61,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,14,SHE SWINGS,SHE SWINGS,SHE SWINGS,5,David Pfieffer,Ms Alysha Collett,53.5kg,,63,,false,false,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,15,STARINION,STARINION,STARINION,11,Steven Sampson,Ms Rebecca Bronett Prag (a3/52kg),54kg,51kg,58,,false,true,risa
1,11:00AM MIDWAY HANDICAP,11:00AM,1300m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,16,FELIS CHAUS,FELIS CHAUS,FELIS CHAUS,8,Richard Litt,Ms Mollie Fitzgerald (a3/52kg),52kg,52kg,53,,false,true,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,1,CONCOCTION,CONCOCTION,CONCOCTION,0,Stirling Osland,Ms Mollie Fitzgerald (a3/52kg),60kg,57kg,72,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,2,NAVY BUOY,NAVY BUOY,NAVY BUOY,16,Paul Snowden,Ben Looker,60kg,,72,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,3,DELRICO,DELRICO,DELRICO,0,Jane Clement,Ms Shannen Llewellyn (a3/54kg),58.5kg,55.5kg,69,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,4,HAMMOON SENSATION,HAMMOON SENSATION,HAMMOON SENSATION,0,Rodney Northam,Reece Jones,58.5kg,,69,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,5,GIAPPONESE,GIAPPONESE,GIAPPONESE,15,Stephen & Jordan Lee,Ms Anna Roper (a2/53kg),58kg,56kg,68,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,6,PORTOFINO,PORTOFINO,PORTOFINO,12,Mack Griffith,Braith Nock (a1.5/53kg),58kg,56.5kg,68,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,7,RED RAGS TO BULLS,RED RAGS TO BULLS,RED RAGS TO BULLS,9,Jeremy Gask,Ms Siena Grima (a2/52kg),57kg,55kg,70,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,8,SOUTHERLY BUSTER (NZ),SOUTHERLY BUSTER (NZ),SOUTHERLY BUSTER (NZ),13,Scott Singleton,Ms Izzy Neale (a3/54.5kg),57kg,54.5kg,66,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,9,DALE,DALE,DALE,14,Paul Messara & Leah Gavranich,Tom Sherry (late alt),56.5kg,57.5kg,65,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,10,HAMMETT,HAMMETT,HAMMETT,2,Matthew Dale,Adam Hyeronimus,56.5kg,57kg,65,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,11,HOLY HELL,HOLY HELL,HOLY HELL,8,Danielle Seib,William Stanley (a3/54.5kg),56kg,54.5kg,68,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,12,SAINTLY SANDS,SAINTLY SANDS,SAINTLY SANDS,11,Rodney Northam,Ms Alysha Collett,56kg,,68,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,13,ZOUCRATIC,ZOUCRATIC,ZOUCRATIC,0,Todd Howlett,Jay Ford,56kg,,64,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,14,SHEZAIN,SHEZAIN,SHEZAIN,6,Keith Dryden & Libby Snowden,Tyler Schiller,55kg,,66,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,15,READY AND LUCKY,READY AND LUCKY,READY AND LUCKY,1,Lou Mary,Andrew Adkins,54.5kg,,65,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,16,SPURLINE,SPURLINE,SPURLINE,7,Tom Wilson,Ms Olivia Chambers (a3/50kg),54kg,51kg,63,,false,false,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,17,RELEASE POINT,RELEASE POINT,RELEASE POINT,5,Rodney Northam,Reece Jones (late alt),55.5kg,,63,,false,true,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,18,WHATELEY,WHATELEY,WHATELEY,4,Todd Howlett,Andrew Gibbons (late alt),55.5kg,,63,,false,true,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,19,BONUS TEMPUS,BONUS TEMPUS,BONUS TEMPUS,3,Brett Lazzarini,"Zac Wadick (a2/53kg), (late alt)",55kg,,62,,false,true,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,20,DANCE DANCE DANCE,DANCE DANCE DANCE,DANCE DANCE DANCE,10,Darren Treacy,Ms Kacie Adams,54.5kg,55kg,61,,false,true,risa
2,11:35AM TAB HIGHWAY HANDICAP,11:35AM,1500m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,21,DEMI GOD,DEMI GOD,DEMI GOD,0,Michael Travers,,54.5kg,,61,,false,true,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,1,STORMLAND (NZ),STORMLAND (NZ),STORMLAND (NZ),8,Ciaron Maher,"Braith Nock (a1.5/53kg), (late alt)",60kg,57kg,72,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,2,ALBANY ROAD,ALBANY ROAD,ALBANY ROAD,12,Gai Waterhouse & Adrian Bott,Zac Wadick (a2/53kg),58.5kg,56.5kg,69,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,3,BENEVAC,BENEVAC,BENEVAC,9,Ciaron Maher,Adam Hyeronimus,58.5kg,,69,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,4,EMBRACE THE WIND,EMBRACE THE WIND,EMBRACE THE WIND,10,John Thompson,Tom Sherry,56kg,,64,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,5,ROYAL AIR FORCE,ROYAL AIR FORCE,ROYAL AIR FORCE,4,Chris Waller,Ms Siena Grima (a2/52kg),56kg,54kg,64,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,6,ALL THE WAY MAE,ALL THE WAY MAE,ALL THE WAY MAE,3,Kerry Parker,Andrew Adkins,55.5kg,,67,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,7,JARRITO,JARRITO,JARRITO,5,Bjorn Baker,Ms Alysha Collett,55.5kg,,67,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,8,LULL,LULL,LULL,0,Ciaron Maher,Braith Nock (a1.5/53kg),55.5kg,54kg,67,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,9,GORGEOUS,GORGEOUS,GORGEOUS,2,David Pfieffer,Kerrin McEvoy,55kg,,66,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,10,GILETTE,GILETTE,GILETTE,6,Terry Croft,Ms Mollie Fitzgerald (a3/52kg),54.5kg,52kg,65,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,11,LADY INVICTUS,LADY INVICTUS,LADY INVICTUS,7,Gai Waterhouse & Adrian Bott,Regan Bayliss,54.5kg,,65,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,12,PERFORMANCE,PERFORMANCE,PERFORMANCE,0,Gary Portelli,Ms Anna Roper (a2/53kg),54.5kg,52.5kg,65,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,13,SNEAKY PEE CEE,SNEAKY PEE CEE,SNEAKY PEE CEE,11,Danny Williams,Tyler Schiller,54.5kg,,61,,false,false,risa
3,12:10PM KIA ORA BLOODLINES TO HEADLINES HANDICAP,12:10PM,1100m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,14,LIGHTHOUSE LASS,LIGHTHOUSE LASS,LIGHTHOUSE LASS,1,Richard & Will Freedman,Reece Jones (late alt),52kg,,58,,false,true,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,1,ICEMAN,ICEMAN,ICEMAN,0,Clarry Conners,Aaron Bullock,60.5kg,,73,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,2,DAMIEN,DAMIEN,DAMIEN,8,Kris Lees,William Stanley (a3/54.5kg),60kg,57kg,73,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,3,CHERISH ME,CHERISH ME,CHERISH ME,3,Ciaron Maher,Ms Shannen Llewellyn (a3/54kg),59kg,56kg,75,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,4,ROYAL FLARE,ROYAL FLARE,ROYAL FLARE,5,Brendan McCarthy,Regan Bayliss,59kg,,70,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,5,BIG PAPA (NZ),BIG PAPA (NZ),BIG PAPA (NZ),9,Bjorn Baker,Ms Alysha Collett,58.5kg,,70,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,6,TARZING (NZ),TARZING (NZ),TARZING (NZ),4,Chris Waller,Ms Siena Grima (a2/52kg),58kg,56kg,68,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,7,ZUNNA,ZUNNA,ZUNNA,0,Phillip Stokes,,57.5kg,,71,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,8,DASHING RUPERT,DASHING RUPERT,DASHING RUPERT,0,Annabel & Rob Archibald,Ms Anna Roper (a2/53kg),57.5kg,55.5kg,67,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,9,TWISTED QUEEN,TWISTED QUEEN,TWISTED QUEEN,0,Joseph Pride,Braith Nock (a1.5/53kg),56kg,54.5kg,68,,true,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,10,KONSA (NZ),KONSA (NZ),KONSA (NZ),6,Chris Waller,Kerrin McEvoy,56kg,,65,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,11,NAMASTE (NZ),NAMASTE (NZ),NAMASTE (NZ),2,Bjorn Baker,Tom Sherry,56kg,,65,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,12,VIRGIL’S GIFT,VIRGIL’S GIFT,VIRGIL’S GIFT,0,Gai Waterhouse & Adrian Bott,Zac Wadick (a2/53kg),55kg,53kg,67,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,13,ALPHARD,ALPHARD,ALPHARD,0,Chris Waller,Andrew Adkins,54.5kg,,62,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,14,SO REBELLIOUS,SO REBELLIOUS,SO REBELLIOUS,7,Gary Portelli,Andrew Adkins (late alt),54.5kg,,62,,false,false,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,15,COLD BREW,COLD BREW,COLD BREW,0,Richard & Will Freedman,,61kg,,74,,false,true,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,17,MAYBE MOET,MAYBE MOET,MAYBE MOET,1,Chris Waller,Adam Hyeronimus,58kg,,72,,false,true,risa
4,12:45PM IRRESISTIBLE POOLS AND SPAS HANDICAP,12:45PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,16,RACH,RACH,RACH,0,Chris Waller,Reece Jones,53.5kg,,63,,false,true,risa
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,1,SURF’S UP,SURF’S UP,SURF’S UP,1,Chris Waller,Ms Siena Grima (a2/52kg),59.5kg,57.5kg,78,,false,false,risa
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,2,FLYING EMBERS,FLYING EMBERS,FLYING EMBERS,8,John Thompson,William Stanley (a3/54.5kg),59.5kg,56.5kg,77,,false,false,risa
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,3,MAKE IT SWEET,MAKE IT SWEET,MAKE IT SWEET,7,Craig Weeding,Ms Coriah Keatings (a3/51kg),59kg,56kg,76,,false,false,risa
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,4,MISS HADES,MISS HADES,MISS HADES,9,Gary Portelli,Andrew Adkins,59kg,,76,,false,false,risa
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,5,AROHA STONE (NZ),AROHA STONE (NZ),AROHA STONE (NZ),6,Nathan Doyle,Tyler Schiller,58kg,,74,,false,false,risa
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,6,AYE AYE CAPTAIN,AYE AYE CAPTAIN,AYE AYE CAPTAIN,11,Les Bridge,Kerrin McEvoy,58kg,,74,,false,false,risa
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,7,MISS BUSSLINGER,MISS BUSSLINGER,MISS BUSSLINGER,0,Kris Lees,Aaron Bullock,58kg,,74,,false,false,risa
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,8,SWIFTIE HARRIET,SWIFTIE HARRIET,SWIFTIE HARRIET,2,Travis Doudle,Ms Anna Roper (a2/53kg),58kg,56kg,74,,false,false,risa
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,9,BELLA CORAZON,BELLA CORAZON,BELLA CORAZON,5,Annabel & Rob Archibald,Ms Mollie Fitzgerald (a3/52kg),57.5kg,54.5kg,73,,false,false,risa
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,10,SEQUISTA,SEQUISTA,SEQUISTA,12,Gerald Ryan & Sterling Alexiou,Braith Nock (a1.5/53kg),57kg,55.5kg,73,,false,false,risa
5,1:20PM FIND YOUR ETERNAL WARRIOR @ THE CHASE HANDICAP,1:20PM,1400m,Rosehill Gardens,Handicap,Soft 6,+6m Entire,11,MAYBE MOET,MAYBE MOET,MAYBE MOET,0,Chris Waller,Adam Hyeronimus,57kg,,72,,false,false,risa
